1|Family and people|mama=mother;tata=father;brat=brother;sestra=sister;baba=grandmother;dida=grandfather;sin=son;kćerka=daughter;porodica=family;roditelj=parent;dijete=child;čovjek=person;žena=woman;muškarac=man;djevojka=girl;dječak=boy;beba=baby;prijatelj=friend;komšija=neighbor;rođak=relative
2|Courtesy|zdravo=hello;hvala=thank you;molim=please;da=yes;ne=no;doviđenja=goodbye;ćao=hi / bye;izvini=sorry;dobrodošlica=welcome (noun);pozdrav=greeting
48|Bakery and sweets|pekara=bakery;kolač=cake / pastry;torta=layer cake;keks=biscuit;čokolada=chocolate;sladoled=ice cream;vanila=vanilla;karamela=caramel;nadjev=filling;kora=crust
49|Table requests|pribor=cutlery / utensils;čačkalica=toothpick;pepeljara=ashtray;podmetač=coaster;poslužiti=to serve;zatražiti=to request;zahvaliti=to thank;preporučiti=to recommend;sačekati=to wait for;pozvati=to call / invite
50|Paying and checking|novac=money;gotovina=cash;kartica=card;kovanica=coin;novčanica=banknote;popust=discount;zbir=sum;iznos=amount;potvrda=receipt / confirmation;greška=mistake
51|Describing family|visok=tall;nizak=short (height);snažan=strong;slab=weak;brz=fast;spor=slow;pametan=clever;duhovit=funny;ozbiljan=serious;stidljiv=shy
52|More relationships|brak=marriage;vjenčanje=wedding;mladoženja=groom;mlada=bride;kum=godfather / wedding witness;kuma=godmother / wedding witness;blizanac=twin;nećak=nephew;nećaka=niece;predak=ancestor
53|Family history|porijeklo=origin;prošlost=past;uspomena=memory / keepsake;fotografija=photograph;album=album;običaj=custom;tradicija=tradition;nasljeđe=heritage;generacija=generation;djetinjstvo=childhood
54|Helping each other|pomoći=to help;podržati=to support;čuvati=to look after;posjetiti=to visit;družiti=to socialize (with se);vjerovati=to believe / trust;poštovati=to respect;brinuti=to care (with se);pokloniti=to give as a gift;iznenaditi=to surprise
55|Family occasions|slavlje=celebration;praznik=holiday;poklon=gift;čestitka=greeting card;svijeća=candle;buket=bouquet;balon=balloon;ukras=decoration;pozivnica=invitation card;čestitati=to congratulate
56|Conversation skills|objasniti=to explain;ponoviti=to repeat;prevesti=to translate;izgovoriti=to pronounce;napisati=to write down;pročitati=to read through;zapamtiti=to remember;ispričati=to tell;predstaviti=to introduce;nastaviti=to continue
57|Listening carefully|pažnja=attention;smisao=meaning;primjer=example;detalj=detail;tema=topic;mišljenje=opinion;savjet=advice;razlog=reason;objašnjenje=explanation;nesporazum=misunderstanding
58|Expressing preferences|više=more;manje=less;mnogo=a lot;malo=a little;dosta=enough;previše=too much;skoro=almost;približno=approximately;tačno=exactly;posebno=especially
59|Comparing experiences|sličan=similar;različit=different;isti=same;drugi=other;poseban=special;zanimljiv=interesting;dosadan=boring;lak=easy / light;težak=difficult / heavy;koristan=useful
60|Family review in context|dogovor=agreement;plan=plan;namjera=intention;želja=wish;cilj=goal;uspjeh=success;trud=effort;napredak=progress;izazov=challenge;prilika=opportunity
61|About school|škola=school;učenik=pupil;učitelj=teacher;nastavnik=subject teacher;učionica=classroom;razred=class;klupa=school desk;tabla=board;sveska=notebook;ranac=backpack
62|School supplies|lenjir=ruler;šestar=compass (drawing);makaze=scissors;ljepilo=glue;bojica=colored pencil;flomaster=felt-tip pen;hemijska=ballpoint pen;pernica=pencil case;udžbenik=textbook;bilježnica=notebook (exercise book)
63|School subjects|matematika=mathematics;istorija=history;geografija=geography;biologija=biology;hemija=chemistry;fizika=physics;informatika=computing;književnost=literature;umjetnost=art;muzičko=music class
64|Learning actions|čitati=to read;pisati=to write;računati=to calculate;vježbati=to practice;istraživati=to research;uporediti=to compare;provjeriti=to check;riješiti=to solve;ispraviti=to correct;završiti=to finish
65|Classroom rhythm|čas=class period;odmor=break;test=test;ispit=exam;ocjena=grade;raspored=schedule;lekcija=lesson;zadatak=task;pravilo=rule;znanje=knowledge
66|Months one to six|januar=January;februar=February;mart=March;april=April;maj=May;jun=June;kalendar=calendar;datum=date;početak=beginning;kraj=end
67|Months seven to twelve|jul=July;avgust=August;septembar=September;oktobar=October;novembar=November;decembar=December;proljeće=spring;ljeto=summer;jesen=autumn;zima=winter
68|Telling time|sat=hour / clock;minut=minute;sekund=second;trenutak=moment;trajanje=duration;rok=deadline;pauza=pause;kašnjenje=delay;ranije=earlier;odmah=immediately
69|Daily routines|ustati=to get up;obući=to put on (clothes);umiti=to wash one's face;spavati=to sleep;probuditi=to wake;odmarati=to rest;šetati=to walk for pleasure;sjedjeti=to sit;spremati=to prepare / tidy;ležati=to lie down
70|Keeping appointments|sastanak=meeting;termin=appointment slot;posjeta=visit;trajati=to last;početi=to begin;zakazati=to schedule;otkazati=to cancel;odložiti=to postpone;stići=to arrive on time;požuriti=to hurry
71|Around town|ulica=street;trg=square (town);park=park;most=bridge;trotoar=sidewalk;raskrsnica=intersection;semafor=traffic light;pješak=pedestrian;zgrada=building;centar=center
72|Useful places|prodavnica=shop;banka=bank;pošta=post office;apoteka=pharmacy;bolnica=hospital;biblioteka=library;muzej=museum;bioskop=cinema;pozorište=theater;restoran=restaurant
73|Signs and access|ulaz=entrance;izlaz=exit;prolaz=passage;stepenice=stairs;lift=elevator;sprat=floor (story);prizemlje=ground floor;hodnik=corridor;šalter=service counter;red=queue
74|Finding a place|mapa=map;put=road;staza=path;pravac=direction;ugao=corner;strana=side;udaljenost=distance;oznaka=marker;putokaz=signpost;lokacija=location
75|Moving around|hodati=to walk;trčati=to run;skrenuti=to turn;preći=to cross;pratiti=to follow;zaobići=to go around;ući=to enter;izaći=to exit;proći=to pass;stati=to stop
76|Phone conversations|telefon=telephone;poziv=call;poruka=message;broj=number;kontakt=contact;signal=signal;zvono=ringtone;baterija=battery;punjač=charger;slušalica=earpiece
77|Travel information|informacija=information;podatak=data item;obavještenje=notice;uputstvo=instruction;raspoloživost=availability;dostupnost=availability (access);cjenovnik=price list;brošura=brochure;vodič=guide;turista=tourist
78|Public manners|pravda=justice;strpljenje=patience;ljubaznost=kindness;poštovanje=respect;dozvola=permission;zabrana=prohibition;molba=request;izvinjenje=apology;zahvalnost=gratitude;ponašanje=behavior
79|Solving small problems|problem=problem;rješenje=solution;kvar=malfunction;šteta=damage;zamjena=replacement;popravka=repair;gubitak=loss;poteškoća=difficulty;prigovor=complaint;podrška=support
80|Town challenge|snaći=to manage (with se);raspitati=to inquire (with se);primijetiti=to notice;prepoznati=to recognize;pokazati=to show;objaviti=to announce;potražiti=to seek;približiti=to bring closer;udaljiti=to move away;orijentisati=to orient
81|Weather words|sunce=sun;kiša=rain;vjetar=wind;oblak=cloud;snijeg=snow;magla=fog;oluja=storm;grmljavina=thunderstorm;munja=lightning;duga=rainbow
82|Weather conditions|sunčan=sunny;oblačan=cloudy;kišovit=rainy;vjetrovit=windy;maglovit=foggy;snježan=snowy;topao=warm;hladan=cold;vlažan=damp;suv=dry
83|Outside in nature|nebo=sky;vazduh=air;temperatura=temperature;stepen=degree;hlad=shade;sjenka=shadow;svjetlost=light;mrak=darkness;zora=dawn;sumrak=dusk
84|Forecasts|prognoza=forecast;pritisak=pressure;vlažnost=humidity;padavine=precipitation;povjetarac=breeze;mraz=frost;poledica=black ice;susnježica=sleet;pljusak=downpour;nevrijeme=bad weather
85|Weather actions|duvati=to blow;padati=to fall;grmjeti=to thunder;sijevati=to flash (lightning);topiti=to melt;smrzavati=to freeze;pokrivati=to cover;skloniti=to shelter / move aside;pokisnuti=to get wet in rain;osušiti=to dry
86|Feelings as nouns|radost=joy;tuga=sadness;strah=fear;ljutnja=anger;briga=worry;nada=hope;iznenađenje=surprise;uzbuđenje=excitement;ponos=pride;stid=shame / shyness
87|Talking about feelings|raspoloženje=mood;osjećanje=feeling;sreća=happiness;zadovoljstvo=satisfaction;dosada=boredom;umor=fatigue;usamljenost=loneliness;hrabrost=courage;smirenost=calmness;olakšanje=relief
88|Responding kindly|utješiti=to comfort;ohrabriti=to encourage;nasmijati=to make laugh;razveseliti=to cheer up;smiriti=to calm down;oprostiti=to forgive;prihvatiti=to accept;odbiti=to refuse;izdržati=to endure;veseo=cheerful
89|Character|iskren=honest;strpljiv=patient;hrabar=brave;radoznao=curious;pažljiv=careful;vrijedan=hardworking;odgovoran=responsible;prijatan=pleasant;nježan=gentle;uporan=persistent
90|Care and connection|ljubav=love;prijateljstvo=friendship;povjerenje=trust;empatija=empathy;razumijevanje=understanding;pomoć=help;saradnja=cooperation;zajednica=community;društvo=company / society;bliskost=closeness
91|More rooms|salon=sitting room;spavaonica=dormitory;trpezarija=dining room;ostava=pantry;podrum=basement;tavan=attic;balkon=balcony;garaža=garage;predsoblje=entry hall;potkrovlje=attic apartment
92|Furniture|ormar=wardrobe;polica=shelf;komoda=chest of drawers;fotelja=armchair;kauč=sofa;vitrina=display cabinet;ogledalo=mirror;lampa=lamp;tepih=carpet;zavjesa=curtain
93|Household appliances|frižider=refrigerator;zamrzivač=freezer;šporet=stove;rerna=oven;mašina=machine;usisivač=vacuum cleaner;pegla=iron;fen=hair dryer;bojler=water heater;ventilator=fan
94|Keeping clean|sapun=soap;šampon=shampoo;peškir=towel;četka=brush;češalj=comb;sunđer=sponge;metla=broom;krpa=cloth;deterdžent=detergent;smeće=trash
95|Household tasks|čistiti=to clean;brisati=to wipe;usisavati=to vacuum;peglati=to iron;složiti=to fold / arrange;baciti=to throw away;popraviti=to repair;upaliti=to turn on;ugasiti=to turn off;zaključati=to lock
96|Home materials|zid=wall;pod=floor;krov=roof;plafon=ceiling;pločica=tile;cigla=brick;beton=concrete;metal=metal;kamen=stone;keramika=ceramics
97|House fittings|ključ=key;brava=lock;kvaka=door handle;utičnica=socket;prekidač=switch;sijalica=light bulb;česma=tap;sudopera=kitchen sink;lavabo=washbasin;tuš=shower
98|Bedding and laundry|jastuk=pillow;jorgan=duvet;ćebe=blanket;čaršav=bedsheet;dušek=mattress;veš=laundry;vješalica=clothes hanger;štipaljka=clothespin;kanap=string;korito=washbasin (large)
99|Staying with relatives|domaćin=host;gošća=female guest;gostoprimstvo=hospitality;smještaj=accommodation;prenoćište=overnight lodging;udobnost=comfort;privatnost=privacy;tišina=silence;buka=noise;ključan=essential
100|Home integration|udoban=comfortable;čist=clean;prljav=dirty;uredan=tidy;neuredan=untidy;otvoren=open;zatvoren=closed;bezbjedan=safe;opasan=dangerous;osvijetljen=illuminated
101|Clothes for travel|kaput=coat;prsluk=vest;košulja=shirt;bluza=blouse;šorts=shorts;pidžama=pajamas;potkošulja=undershirt;gaće=underpants;trenerka=tracksuit;odijelo=suit
102|Clothing details|rukav=sleeve;kragna=collar;džep=pocket;rajsferšlus=zipper;pertla=shoelace;đon=sole;potpetica=heel (shoe);kopča=buckle;šav=seam;postava=lining
103|Choosing clothes|veličina=size;materijal=material;pamuk=cotton;vuna=wool;svila=silk;lan=linen;koža=leather / skin;sintetika=synthetic fabric;kroj=cut (clothing);uzorak=pattern / sample
104|Fit and feel|širok=wide;uzak=narrow;dug=long;kratak=short (length);mek=soft;tvrd=hard;debeo=thick;tanak=thin;lagan=lightweight;elastičan=stretchy
105|Shopping for clothing|obuti=to put on footwear;skinuti=to take off;isprobati=to try on;nositi=to wear / carry;pristajati=to suit / fit;zategnuti=to tighten;olabaviti=to loosen;presvući=to change clothes;zakrpiti=to patch;sašiti=to sew
106|Head and face|glava=head;lice=face;oko=eye;uho=ear;nos=nose;usta=mouth;zub=tooth;nepce=palate;kosa=hair;brada=chin / beard
107|Body|vrat=neck;rame=shoulder;ruka=arm / hand;lakat=elbow;prst=finger;leđa=back;stomak=stomach;noga=leg / foot;koljeno=knee;stopalo=foot
108|More body vocabulary|čelo=forehead;obraz=cheek;usna=lip;obrva=eyebrow;trepavica=eyelash;nokat=fingernail;dlan=palm;zglob=joint;članak=ankle;grudi=chest
109|Feeling unwell|bol=pain;kašalj=cough;prehlada=cold (illness);grip=flu;groznica=fever;mučnina=nausea;vrtoglavica=dizziness;alergija=allergy;osip=rash;otok=swelling
110|Getting help|ljekar=doctor;bolničar=hospital orderly;pacijent=patient;pregled=examination;lijek=medicine;tableta=tablet;zavoj=bandage;flaster=adhesive bandage;ambulanta=clinic;sanitetski=medical-transport (adjective)
111|Describing symptoms|boljeti=to hurt;kašljati=to cough;kijati=to sneeze;disati=to breathe;krvariti=to bleed;ozlijediti=to injure;oporaviti=to recover (with se);mjeriti=to measure;liječiti=to treat;odspavati=to sleep for a while
112|Health supplies|toplomjer=thermometer;maramica=tissue;maska=mask;pinceta=tweezers;krema=cream (skin);mast=ointment;sirup=syrup;vitamin=vitamin;receptura=formulation;dezinfekcija=disinfection
113|Personal wellbeing|zdravlje=health;san=sleep;ishrana=nutrition;higijena=hygiene;vježba=exercise;navika=habit;energija=energy;snaga=strength;ravnoteža=balance;oporavak=recovery
114|Communicating needs|žurba=hurry;nevolja=trouble;hitnost=urgency;oprez=caution;upozorenje=warning;zaštita=protection;sigurnost=security;opasnost=danger;nezgoda=accident;spas=rescue / salvation
115|Safety actions|paziti=to pay attention;izbjegavati=to avoid;zaštititi=to protect;spasiti=to rescue;obavijestiti=to notify;prijaviti=to report;dezinfikovati=to disinfect;potvrditi=to confirm;upozoriti=to warn;skliznuti=to slip
116|At the shops|trgovina=commerce;supermarket=supermarket;mesara=butcher's shop;knjižara=bookshop;trafika=newsstand;butik=boutique;drogerija=drugstore;trgovac=merchant;suvenirnica=souvenir shop;zlatara=jewelry shop
117|Shopping details|proizvod=product;roba=goods;marka=brand;kvalitet=quality;garancija=warranty;etiketa=label;bar-kod=barcode;kasa=cash register;kolica=cart;akcija=special offer
118|Money matters|euro=euro;cent=cent;valuta=currency;budžet=budget;trošak=expense;ušteđevina=savings;kamata=interest (money);uplata=payment in;isplata=payment out;mjenjačnica=exchange office
119|Comparing purchases|povoljan=good value;skup=expensive;jeftin=cheap;originalan=original;praktičan=practical;trajan=durable;polovan=secondhand;oštećen=damaged;ispravan=working properly;neispravan=faulty
120|Shopping challenge|kupiti=to buy;prodati=to sell;trošiti=to spend;uštedjeti=to save money;zamijeniti=to exchange;potpisati=to sign;pregovarati=to negotiate;rezervisati=to reserve;skenirati=to scan;preuzeti=to collect / take over
121|On the coast|more=sea;plaža=beach;obala=shore;pijesak=sand;talas=wave;zaliv=bay;ostrvo=island;poluostrvo=peninsula;rt=cape;litica=cliff
122|Beach equipment|suncobran=beach umbrella;ležaljka=sun lounger;bikini=bikini;naočare=glasses;peraja=fins;disalica=snorkel;bova=buoy;lopatica=small shovel;kantica=small bucket;prostirka=mat
123|Water activities|plivati=to swim;roniti=to dive;plutati=to float;veslati=to row;jedriti=to sail;prskati=to splash;zaroniti=to dive under;izroniti=to surface;kupati=to bathe;sunčati=to sunbathe (with se)
124|Sea life|riba=fish;rak=crab;školjka=shellfish;puž=snail;hobotnica=octopus;lignja=squid;meduza=jellyfish;delfin=dolphin;jegulja=eel;ajkula=shark
125|Beach conditions|dubina=depth;plićak=shallow water;struja=current;plima=high tide;osjeka=low tide;zastava=flag;spasilac=lifeguard;kamenčić=pebble;šljunak=gravel;stijena=rock
126|Boats and harbors|brod=ship;čamac=boat;jedrilica=sailboat;trajekt=ferry;luka=harbor;pristanište=pier;sidro=anchor;jedro=sail;veslo=oar;paluba=deck
127|On board|kapetan=captain;mornar=sailor;posada=crew;putnik=passenger;kabina=cabin;kormilo=helm;pramac=bow (ship);krma=stern;jarbol=mast;konopac=rope
128|Exploring the coast|uvala=cove;svjetionik=lighthouse;vidikovac=viewpoint;šetalište=promenade;bedem=rampart;tvrđava=fortress;zidine=city walls;marina=marina;riva=waterfront;horizont=horizon
129|Weather at sea|bura=bora wind;jugo=sirocco wind;maestral=maestral wind;bonaca=calm sea;nevera=sudden sea storm;pjena=foam;pjeniti=to foam;zibati=to rock gently;ljuljati=to sway / rock;uskomešati=to churn up
130|Coastal challenge|otploviti=to sail away;pristati=to dock;isploviti=to leave harbor;uploviti=to enter harbor;ukrcati=to embark;iskrcati=to disembark;usidriti=to anchor;zavezati=to tie;odvezati=to untie;doploviti=to arrive by boat
131|Free time|hobi=hobby;igra=game;zabava=fun;šetnja=walk;izlet=excursion;opuštanje=relaxation;rekreacija=recreation;takmičenje=competition;turnir=tournament;ekipa=team
132|Sports|fudbal=football;košarka=basketball;odbojka=volleyball;rukomet=handball;tenis=tennis;vaterpolo=water polo;atletika=athletics;gimnastika=gymnastics;biciklizam=cycling;skijanje=skiing
133|Playing a game|igrati=to play;šutirati=to kick / shoot;bacati=to throw;hvatati=to catch;dodavati=to pass;udariti=to hit;pobijediti=to win;izgubiti=to lose;navijati=to cheer;trenirati=to train
134|Sports equipment|reket=racket;mreža=net;gol=goal;koš=hoop;teren=court / field;stadion=stadium;tribina=stand (seating);dres=jersey;kaciga=helmet;štitnik=protective pad
135|Game rules|sudija=referee;rezultat=score;bod=point;poluvrijeme=half-time;produžetak=extra time;faul=foul;penal=penalty kick;poen=point (score);pobjeda=victory;poraz=defeat
136|Making music|muzika=music;pjesma=song;melodija=melody;ritam=rhythm;nota=musical note;instrument=instrument;gitara=guitar;klavir=piano;violina=violin;bubanj=drum
137|Performing|pjevati=to sing;svirati=to play an instrument;plesati=to dance;glumiti=to act;nastupati=to perform;aplaudirati=to applaud;uvježbati=to rehearse;snimiti=to record;komponovati=to compose;improvizovati=to improvise
138|Drawing and crafts|crtati=to draw;slikati=to paint;bojiti=to color;lijepiti=to glue;rezati=to cut;oblikovati=to shape;saviti=to bend;plesti=to knit;tkač=weaver;vajati=to sculpt
139|Creative materials|platno=canvas;paleta=palette;kist=paintbrush;glina=clay;plastelin=modeling clay;karton=cardboard;traka=ribbon;konac=thread;igla=needle;perla=bead
140|Sharing hobbies|izložba=exhibition;koncert=concert;predstava=performance;festival=festival;publika=audience;pozornica=stage;uloga=role;umjetnik=artist;djelo=work (art);stvaralaštvo=creativity
141|Air travel|aerodrom=airport;avion=airplane;let=flight;pilot=pilot;stjuardesa=flight attendant;terminal=terminal;gejt=gate;prijava=check-in / registration;polijetanje=takeoff;slijetanje=landing
142|Travel documents|pasoš=passport;viza=visa;karta=ticket;dokument=document;državljanstvo=citizenship;osiguranje=insurance;potpis=signature;obrazac=form;kopija=copy;original=original document
143|Packing a suitcase|kofer=suitcase;prtljag=luggage;dodatak=accessory;neseser=toiletry bag;futrola=case;adapter=adapter;kabl=cable;četkica=toothbrush;pasta=toothpaste;kišobran=umbrella
144|At the airport|kontrola=inspection;carina=customs;granica=border;policija=police;skener=scanner;transporter=conveyor;odlazak=departure;dolazak=arrival;presjedanje=transfer;čekanje=waiting
145|Flight experience|sjedište=seat;pojas=seatbelt;naslon=backrest;prozorčić=small window;turbulencija=turbulence;visina=height;brzina=speed;slijetati=to land repeatedly;poletjeti=to take off;presjesti=to change vehicles
146|Road transport|automobil=car;autobus=bus;voz=train;taksi=taxi;tramvaj=tram;motocikl=motorcycle;bicikl=bicycle;kombi=van;kamion=truck;skuter=scooter
147|Public transport|stanica=station;stajalište=stop;peron=platform;ruta=route;interval=interval;prevoz=transport;tarifa=fare / tariff;pretplata=subscription;kontrolor=ticket inspector;vozač=driver
148|Car parts|volan=steering wheel;točak=wheel;guma=tire;motor=engine;kočnica=brake;gas=accelerator;far=headlight;retrovizor=rearview mirror;hauba=hood;prtljažnik=trunk
149|On the road|autoput=motorway;magistrala=main road;tunel=tunnel;petlja=interchange;naplata=charging / collection of payment;parking=parking area;gorivo=fuel;benzin=gasoline;dizel=diesel;gužva=traffic jam / crowd
150|Travel actions|voziti=to drive;putovati=to travel;parkirati=to park;kočiti=to brake;ubrzati=to speed up;usporiti=to slow down;preticati=to overtake;zaustaviti=to stop something;krenuti=to set off;obilaziti=to visit / go around
151|At a hotel|hotel=hotel;recepcija=reception;recepcioner=receptionist;apartman=apartment rental;noćenje=overnight stay;odsjesti=to stay at lodging;odjaviti=to check out (with se);ključ-kartica=key card;sejf=safe (box);posluga=room service / staff
152|Accommodation choices|hostel=hostel;kamp=campground;šator=tent;bungalov=bungalow;pansion=guesthouse;vila=villa;vikendica=holiday cottage;dvokrevetni=two-bedded;ležaj=bed space;doplata=surcharge
153|Hotel amenities|bazen=swimming pool;sauna=sauna;teretana=gym;vešernica=laundry room;klima=air conditioning;internet=internet;ormarić=locker;minibar=minibar;doručkovati=to have breakfast;pospremiti=to tidy up
154|Making arrangements|garantovati=to guarantee;produžiti=to extend;skratiti=to shorten;promijeniti=to change;iznajmiti=to rent;naplatiti=to charge money;uključiti=to include / switch on;isključiti=to exclude / switch off;obezbijediti=to provide;dogovoriti=to agree on
155|Touring Montenegro|planina=mountain;jezero=lake;rijeka=river;kanjon=canyon;šuma=forest;pećina=cave;vodopad=waterfall;rezervat=nature reserve;manastir=monastery;naselje=settlement
156|Mountain landscapes|vrh=summit;brdo=hill;dolina=valley;klisura=gorge;visoravan=plateau;livada=meadow;pašnjak=pasture;izvor=spring (water);potok=stream;padina=slope
157|Hiking gear|gojzerica=hiking boot;štap=walking stick;kompas=compass;dvogled=binoculars;svjetiljka=flashlight;zviždaljka=whistle;nepromočiv=waterproof;čutura=canteen;karabiner=carabiner;kabanica=raincoat
158|Hiking skills|penjati=to climb;spuštati=to lower / descend;održati=to maintain;pridržati=to hold steady;preskočiti=to jump over;prepreka=obstacle;osloniti=to lean on;odrediti=to determine;procijeniti=to estimate;istražiti=to explore
159|Countryside life|farma=farm;njiva=field;voćnjak=orchard;vinograd=vineyard;štala=stable;sjenik=hayloft;stado=herd;pastir=shepherd;traktor=tractor;žetva=harvest
160|Animals around us|pas=dog;mačka=cat;konj=horse;krava=cow;ovca=sheep;koza=goat;svinja=pig;kokoška=hen;pijetao=rooster;magarac=donkey
161|Wild animals|vuk=wolf;medvjed=bear;lisica=fox;zec=hare;jelen=deer;srna=roe deer;vjeverica=squirrel;jež=hedgehog;vidra=otter;jazavac=badger
162|Birds|ptica=bird;orao=eagle;soko=falcon;sova=owl;golub=pigeon;vrabac=sparrow;lastavica=swallow;galeb=seagull;roda=stork;patka=duck
163|Small creatures|mrav=ant;pčela=bee;osa=wasp;leptir=butterfly;komarac=mosquito;muva=fly;pauk=spider;buba=insect / beetle;žaba=frog;gušter=lizard
164|Plants and trees|hrast=oak;bor=pine;jela=fir;bukva=beech;breza=birch;vrba=willow;lipa=linden;trava=grass;mahovina=moss;paprat=fern
165|Protecting nature|priroda=nature;okolina=environment;otpad=waste;reciklaža=recycling;zagađenje=pollution;čistoća=cleanliness;očuvanje=preservation;zaštićen=protected;ugrožen=endangered;održiv=sustainable
166|Digital devices|računar=computer;laptop=laptop;tablet=tablet computer;ekran=screen;tastatura=keyboard;miš=mouse;štampač=printer;kamera=camera;zvučnik=speaker;mikrofon=microphone
